DISTANCIA1;DISTANCIA2;DISTANCIA3;DISTANCIA4
165.14841809717706;228.21481108815001;80.8084154033477;161.7714437099453
163.1502375113196;222.84748147555987;89.31965069345043;169.0
159.20113064925135;212.4547010541306;90.13878188659973;156.54072952429985
166.14752480852673;222.44100341438852;85.61541917201598;159.3267083699403
161.31026005806325;221.32555207205516;90.62008607367353;159.15401345866212
158.02847844613325;212.72047386182646;92.30926280715278;155.24174696260025
161.01242188104618;222.43425995111454;87.28115489611719;152.50573759698355
164.00304875214974;224.51057881534223;93.92017887546851;155.6181223379848
163.02760502442524;226.61200321253946;95.60334722173695;152.46311029229332
160.5615146914104;235.05318547086316;100.04498987955368;164.12495239907915
170.02646852769718;246.02845363900494;96.02083107326243;153.52198539622916
177.13271860387624;248.21361767638777;95.08417323613851;153.95129099815955
169.0266251216062;236.22446951998856;92.04890004774636;155.63097378092831
158.00316452527144;224.8288237748888;90.19977827023745;153.87332452377834
164.34719346554112;225.84286572747877;86.83317338436964;148.12494725737457
154.00324671902212;219.40145851839728;90.19977827023745;153.8440769090575
156.05127362504928;221.40009033421825;87.20665112249179;157.4960316960399
162.30834852218786;221.46105752479374;86.57944328765345;155.7080601638849
150.11995203836165;206.63494380186523;86.0;151.71684151734772
143.68368035375485;202.5487595617411;84.2140130857092;137.84411485442533
140.80127840328723;200.32224040280698;85.28774824088158;136.74063039199433
139.5600229292042;200.1724256734678;83.15046602394962;128.22636234409833
145.16542288024377;203.03940504246953;76.02631123499285;126.01587201618692
132.19682295728592;185.60711193270586;70.02856560004639;124.61942063739504
132.90974381135493;185.9704277566732;76.4198926981712;130.91982279242512
134.48048185517482;189.50461735799473;78.77182237323191;129.52991932368366
140.42791745233566;197.3448757885545;78.10249675906654;135.36986370680884
142.70599146496969;200.86313748420838;80.02499609497022;137.84411485442533
139.0;203.7253052519495;89.44271909999159;147.02720836634285
153.40469353966978;205.20477577288497;116.27553482998907;157.15597347857954
158.7765725792064;208.4346420343797;114.49017425089369;158.42032697857937
158.02847844613325;204.7266470198738;122.11879462228572;157.64834283937145
153.11433636338563;211.22736565132843;114.23659658795863;159.2388143638353
152.5417975507041;210.05951537600004;114.23659658795863;159.21055241409096
145.46477236774544;210.8459153030952;110.13627921806692;156.18578680533003
141.79210133149166;212.55822731665788;103.84603988597736;153.07514494521962
143.01398533010678;215.62931155109686;94.53041838477179;147.35331689514152
149.6262009141447;216.6702563805194;84.02380615040002;143.75673897247393
152.31546211727817;207.45360927204905;79.07591289387686;136.5283853270081
149.64624953536256;202.41047403728888;78.5175139698144;131.7459676802292
147.46185947559457;200.9975124224178;78.63841300535;132.01893803541975
143.09786860746738;197.6486782146544;78.77182237323191;128.16005617976296
145.33065746772084;201.67548190099856;79.22752047110903;125.92458060283545
144.30869689661813;199.25109786397664;78.5175139698144;123.71337841963576
144.81022063376605;200.24984394500785;79.40403012442127;122.3315167894194
144.5441109142811;199.90247622278218;81.02468759581859;120.37026210821342
142.86357128393507;200.84820138602188;83.05419917138447;123.17467272130257
146.15402833996743;206.93235609734887;83.09632964216891;127.4244874425634
149.64290828502365;208.96889720721597;87.0;126.49110640673517
149.4590244849738;208.0600874747485;83.05419917138447;129.5414991421668
146.32839779072276;211.7663807123312;89.00561780022652;136.4587849865299
147.87156589419075;207.6174366473105;85.09406559801923;134.23859355639868
149.4590244849738;212.30167215544958;86.0;140.06427096158393
148.75819305167698;208.94257584322062;87.05170877128145;144.5060552364502
152.08221460775746;210.535032714273;88.45903006477066;148.11144452742334
